TimePeriod,Area_Name,Indicator_Name,Data_Value
2007, Tripura,Number of times inmates taken to courts,991
2007, Meghalaya,Number of times inmates taken to courts,4442
2007, Assam,Number of times inmates taken to courts,30708
2007, West Bengal,Number of times inmates taken to courts,143200
2007, Jharkhand,Number of times inmates taken to courts,175543
2007, Odisha,Number of times inmates taken to courts,52123
2007, Chhattisgarh,Number of times inmates taken to courts,117657
2007, Madhya Pradesh,Number of times inmates taken to courts,83499
2007, Gujarat,Number of times inmates taken to courts,111575
2007,Daman & Diu,Number of times inmates taken to courts,214
2007,Dadra & Nagar Haveli,Number of times inmates taken to courts,880
2007, Maharashtra,Number of times inmates taken to courts,385583
2007, Andhra Pradesh,Number of times inmates taken to courts,198478
2007, Karnataka,Number of times inmates taken to courts,87064
2007, Goa,Number of times inmates taken to courts,0
2007,Lakshadweep,Number of times inmates taken to courts,0
2007, Kerala,Number of times inmates taken to courts,65320
2007, Tamil Nadu,Number of times inmates taken to courts,115962
2007,Puducherry,Number of times inmates taken to courts,5362
2007,Andaman & Nicobar Islands,Number of times inmates taken to courts,2043
2001, Jammu & Kashmir,Inmates taken on remand and for other purposes,3202
2001, Himachal Pradesh,Inmates taken on remand and for other purposes,0
2001, Punjab,Inmates taken on remand and for other purposes,795
2001,Chandigarh,Inmates taken on remand and for other purposes,87
2001, Uttarakhand,Inmates taken on remand and for other purposes,111
2001, Haryana,Inmates taken on remand and for other purposes,2643
2001,Delhi,Inmates taken on remand and for other purposes,1340
2001, Rajasthan,Inmates taken on remand and for other purposes,2116
2001, Uttar Pradesh,Inmates taken on remand and for other purposes,1645
2001, Bihar,Inmates taken on remand and for other purposes,383
2001, Sikkim,Inmates taken on remand and for other purposes,255
2001, Nagaland,Inmates taken on remand and for other purposes,430
2001, Manipur,Inmates taken on remand and for other purposes,5
2001, Mizoram,Inmates taken on remand and for other purposes,120
2001, Tripura,Inmates taken on remand and for other purposes,71
2001, Meghalaya,Inmates taken on remand and for other purposes,74
2001, Assam,Inmates taken on remand and for other purposes,12463
2001, West Bengal,Inmates taken on remand and for other purposes,595
2001, Jharkhand,Inmates taken on remand and for other purposes,435
2001, Odisha,Inmates taken on remand and for other purposes,107
2001, Chhattisgarh,Inmates taken on remand and for other purposes,1475
2001, Madhya Pradesh,Inmates taken on remand and for other purposes,356
2001, Gujarat,Inmates taken on remand and for other purposes,1974
2001,Daman & Diu,Inmates taken on remand and for other purposes,0
2001,Dadra & Nagar Haveli,Inmates taken on remand and for other purposes,0
2001, Maharashtra,Inmates taken on remand and for other purposes,6508
2001, Andhra Pradesh,Inmates taken on remand and for other purposes,1120
